year,industry,growth_rate
2018,Fashion & Accessories,100
2018,Fashion & Accessories,900
2018,Fashion & Accessories,300
2018,Fashion & Accessories,100
2018,Fashion & Accessories,100
2018,Fashion & Accessories,800
2018,Fashion & Accessories,300
2018,Fashion & Accessories,100
2018,Fashion & Accessories,800
2018,Fashion & Accessories,300
2018,Fashion & Accessories,100
2018,Fashion & Accessories,100
2018,Fashion & Accessories,500
2018,Fashion & Accessories,300
2018,Fashion & Accessories,100
2018,Fashion & Accessories,100
2018,Fashion & Accessories,800
2018,Fashion & Accessories,300
2018,Fashion & Accessories,100
2018,Fashion & Accessories,100
2018,Fashion & Accessories,700
2018,Fashion & Accessories,300
2018,Fashion & Accessories,100
2018,Fashion & Accessories,100
2018,Fashion & Accessories,500
2018,Fashion & Accessories,200
2018,Fashion & Accessories,100
2019,Fashion & Accessories,1200
2019,Fashion & Accessories,300
2019,Fashion & Accessories,200
2019,Fashion & Accessories,1100
2019,Fashion & Accessories,300
2019,Fashion & Accessories,200
2019,Fashion & Accessories,200
2019,Fashion & Accessories,300
2019,Fashion & Accessories,100
2019,Fashion & Accessories,100
2019,Fashion & Accessories,700
2019,Fashion & Accessories,200
2019,Fashion & Accessories,100
2019,Fashion & Accessories,100
2019,Fashion & Accessories,900
2019,Fashion & Accessories,300
2019,Fashion & Accessories,200
2019,Fashion & Accessories,100
2019,Fashion & Accessories,700
2019,Fashion & Accessories,300
2019,Fashion & Accessories,200
2019,Fashion & Accessories,100
2019,Fashion & Accessories,700
2019,Fashion & Accessories,300
2019,Fashion & Accessories,100
2019,Fashion & Accessories,900
2019,Fashion & Accessories,300
2019,Fashion & Accessories,100
2019,Fashion & Accessories,100
2019,Fashion & Accessories,600
2019,Fashion & Accessories,300
2019,Fashion & Accessories,100
2019,Fashion & Accessories,100
2019,Fashion & Accessories,800
2019,Fashion & Accessories,200
2019,Fashion & Accessories,100
2019,Fashion & Accessories,100
2019,Fashion & Accessories,600
2019,Fashion & Accessories,300
2019,Fashion & Accessories,100
2019,Fashion & Accessories,100
2019,Fashion & Accessories,500
2019,Fashion & Accessories,200
2019,Fashion & Accessories,100
2020,Fashion & Accessories,1600
2020,Fashion & Accessories,400
2020,Fashion & Accessories,200
2020,Fashion & Accessories,100
2020,Fashion & Accessories,100
2020,Fashion & Accessories,100
2020,Fashion & Accessories,100
2020,Fashion & Accessories,500
2020,Fashion & Accessories,100
2020,Fashion & Accessories,100
2020,Fashion & Accessories,600
2020,Fashion & Accessories,500
2020,Fashion & Accessories,100
2020,Fashion & Accessories,100
2020,Fashion & Accessories,500
2020,Fashion & Accessories,400
2020,Fashion & Accessories,100
2020,Fashion & Accessories,100
2020,Fashion & Accessories,600
2020,Fashion & Accessories,500
2020,Fashion & Accessories,100
2020,Fashion & Accessories,100
2020,Fashion & Accessories,500
2020,Fashion & Accessories,500
2020,Fashion & Accessories,200
2020,Fashion & Accessories,200
2020,Fashion & Accessories,200
2020,Fashion & Accessories,500
2020,Fashion & Accessories,100
2020,Fashion & Accessories,200
2020,Fashion & Accessories,400
2020,Fashion & Accessories,2200
2020,Fashion & Accessories,300
2020,Fashion & Accessories,100
2020,Fashion & Accessories,100
2020,Fashion & Accessories,1200
2020,Fashion & Accessories,300
2020,Fashion & Accessories,100
2020,Fashion & Accessories,100
2020,Fashion & Accessories,500
2020,Fashion & Accessories,200
2020,Fashion & Accessories,100
2021,Fashion & Accessories,1200
2021,Fashion & Accessories,200
2021,Fashion & Accessories,100
2021,Fashion & Accessories,200
2021,Fashion & Accessories,100
2021,Fashion & Accessories,100
2021,Fashion & Accessories,100
2021,Fashion & Accessories,100
2021,Fashion & Accessories,100
2021,Fashion & Accessories,200
2021,Fashion & Accessories,100
2021,Fashion & Accessories,100
2021,Fashion & Accessories,100
2021,Fashion & Accessories,100
2021,Fashion & Accessories,100
2021,Fashion & Accessories,100
2021,Fashion & Accessories,100
2021,Fashion & Accessories,400
2021,Fashion & Accessories,100
2021,Fashion & Accessories,100
2021,Fashion & Accessories,300
2021,Fashion & Accessories,100
2021,Fashion & Accessories,100
2021,Fashion & Accessories,400
2021,Fashion & Accessories,100
2021,Fashion & Accessories,100
2021,Fashion & Accessories,300
2021,Fashion & Accessories,400
2021,Fashion & Accessories,100
2021,Fashion & Accessories,100
2022,Fashion & Accessories,1500
2022,Fashion & Accessories,200
2022,Fashion & Accessories,100
2022,Fashion & Accessories,200
2022,Fashion & Accessories,100
2022,Fashion & Accessories,200
2022,Fashion & Accessories,100
2022,Fashion & Accessories,100
2022,Fashion & Accessories,100
2022,Fashion & Accessories,200
2022,Fashion & Accessories,100
2022,Fashion & Accessories,200
2022,Fashion & Accessories,100
2022,Fashion & Accessories,200
2022,Fashion & Accessories,100
2022,Fashion & Accessories,100
2022,Fashion & Accessories,100
2022,Fashion & Accessories,100
2022,Fashion & Accessories,100
2022,Fashion & Accessories,100
2022,Fashion & Accessories,100
2022,Fashion & Accessories,100
2022,Fashion & Accessories,100
2022,Fashion & Accessories,100
2010,Food & Beverage,1400
2010,Food & Beverage,900
2010,Food & Beverage,700
2010,Food & Beverage,700
2010,Food & Beverage,1200
2010,Food & Beverage,1300
2010,Food & Beverage,700
2010,Food & Beverage,700
2010,Food & Beverage,1300
2010,Food & Beverage,1400
2010,Food & Beverage,700
2010,Food & Beverage,700
2011,Food & Beverage,1300
2011,Food & Beverage,700
2011,Food & Beverage,700
2011,Food & Beverage,1400
2011,Food & Beverage,1500
2011,Food & Beverage,700
2011,Food & Beverage,800
2011,Food & Beverage,1300
2011,Food & Beverage,800
2011,Food & Beverage,700
2011,Food & Beverage,800
2012,Food & Beverage,1500
2012,Food & Beverage,700
2012,Food & Beverage,1300
2012,Food & Beverage,800
2012,Food & Beverage,700
2012,Food & Beverage,1500
2012,Food & Beverage,900
2012,Food & Beverage,800
2012,Food & Beverage,800
2012,Food & Beverage,1200
2012,Food & Beverage,1200
2012,Food & Beverage,800
2012,Food & Beverage,800
2013,Food & Beverage,700
2013,Food & Beverage,700
2013,Food & Beverage,1300
2013,Food & Beverage,1300
2013,Food & Beverage,700
2013,Food & Beverage,1400
2013,Food & Beverage,1500
2013,Food & Beverage,700
2013,Food & Beverage,800
2013,Food & Beverage,1200
2013,Food & Beverage,800
2013,Food & Beverage,700
2014,Food & Beverage,700
2014,Food & Beverage,800
2014,Food & Beverage,800
2014,Food & Beverage,1400
2014,Food & Beverage,700
2014,Food & Beverage,1300
2014,Food & Beverage,900
2014,Food & Beverage,800
2014,Food & Beverage,800
2014,Food & Beverage,1200
2014,Food & Beverage,1300
2014,Food & Beverage,700
2015,Food & Beverage,700
2015,Food & Beverage,800
2015,Food & Beverage,1300
2015,Food & Beverage,1200
2015,Food & Beverage,800
2015,Food & Beverage,700
2015,Food & Beverage,1300
2015,Food & Beverage,1500
2015,Food & Beverage,700
2015,Food & Beverage,800
2015,Food & Beverage,1200
2016,Food & Beverage,1400
2016,Food & Beverage,700
2016,Food & Beverage,1200
2016,Food & Beverage,700
2016,Food & Beverage,700
2016,Food & Beverage,1200
2016,Food & Beverage,800
2016,Food & Beverage,700
2016,Food & Beverage,1400
2016,Food & Beverage,900
2016,Food & Beverage,700
2016,Food & Beverage,800
2017,Food & Beverage,1400
2017,Food & Beverage,700
2017,Food & Beverage,1200
2017,Food & Beverage,700
2017,Food & Beverage,700
2017,Food & Beverage,700
2017,Food & Beverage,1200
2017,Food & Beverage,1300
2017,Food & Beverage,700
2017,Food & Beverage,1400
2017,Food & Beverage,1500
2017,Food & Beverage,700
2017,Food & Beverage,800
2018,Food & Beverage,700
2018,Food & Beverage,700
2018,Food & Beverage,700
2018,Food & Beverage,1200
2018,Food & Beverage,1200
2018,Food & Beverage,700
2018,Food & Beverage,700
2018,Food & Beverage,1300
2018,Food & Beverage,600
2018,Food & Beverage,1300
2018,Food & Beverage,900
2018,Food & Beverage,600
2019,Food & Beverage,1300
2019,Food & Beverage,700
2019,Food & Beverage,700
2019,Food & Beverage,800
2019,Food & Beverage,1200
2019,Food & Beverage,700
2019,Food & Beverage,700
2019,Food & Beverage,700
2019,Food & Beverage,700
2019,Food & Beverage,1300
2019,Food & Beverage,1500
2019,Food & Beverage,600
2020,Food & Beverage,100
2020,Food & Beverage,600
2020,Food & Beverage,1100
2020,Food & Beverage,700
2020,Food & Beverage,600
2020,Food & Beverage,600
2020,Food & Beverage,700
2020,Food & Beverage,1000
2020,Food & Beverage,1100
2020,Food & Beverage,600
2020,Food & Beverage,600
2020,Food & Beverage,1300
2021,Food & Beverage,1800
2021,Food & Beverage,600
2021,Food & Beverage,700
2021,Food & Beverage,1200
2021,Food & Beverage,1200
2021,Food & Beverage,700
2021,Food & Beverage,1300
2021,Food & Beverage,500
